,PORT VALUE,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABBV,ABT,ADM,ADP,AFL,AOS,APD,BDX,BEN,CAH,CINF,CL,CLX,CTAS,CVX,DOV,ECL,ED,EMR,FRT,GD,GPC,GWW,HCP,HRL,ITW,JNJ,KMB,KO,LEG,LOW,MCD,MDT,MKC,MMM,NUE,PX,ROP,SYY,T,TROW,XOM,
,0.000768516,0.000514131,0.000145277,0.000732003,0.000377668,0.001013639,0.000417619,0.000713998,-0.000385392,-5.6003E-05,0.000375647,2.60732E-06,0.000399555,0.001177659,9.37972E-05,0.000158458,0.000357226,0.000355263,0.000115532,8.07801E-05,0.000553756,0.000159199,0.000338824,-0.00031987,0.000438092,0.000542607,0.000228072,7.09498E-06,8.61262E-05,0.000343003,0.00084023,0.000490038,0.000407738,0.000437951,0.000374786,0.000364187,0.000224676,0.000720157,0.000644712,-6.36156E-05,0.000492317,-0.000162762,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABBV,ABT,ADM,ADP,AFL,AOS,APD,BDX,BEN,CAH,CINF,CL,CLX,CTAS,CVX,DOV,ECL,ED,EMR,FRT,GD,GPC,GWW,HCP,HRL,ITW,JNJ,KMB,KO,LEG,LOW,MCD,MDT,MKC,MMM,NUE,PX,ROP,SYY,T,TROW,XOM,
,0.000313005,0.000103083,6.46063E-05,6.14346E-05,5.90623E-05,7.86463E-05,6.28837E-05,7.95805E-05,8.67798E-05,0.000102203,4.99084E-05,3.11595E-05,2.50441E-05,6.73886E-05,6.74369E-05,5.65529E-05,6.14553E-05,1.84354E-05,6.77796E-05,4.75444E-05,5.74646E-05,6.28967E-05,4.98326E-05,3.57392E-05,3.15086E-05,6.57698E-05,7.45558E-05,4.13934E-05,2.92403E-05,6.72858E-05,6.53038E-05,3.8722E-05,8.78491E-05,3.84156E-05,6.79275E-05,7.77889E-05,6.49034E-05,7.21384E-05,4.40917E-05,3.54637E-05,7.35593E-05,6.30536E-05,
,0.000103083,0.0001581,6.07708E-05,6.61E-05,6.12912E-05,7.99381E-05,7.39156E-05,8.23872E-05,9.61409E-05,8.54212E-05,6.36683E-05,4.78027E-05,3.33182E-05,6.65756E-05,6.28245E-05,7.03848E-05,6.56902E-05,2.11742E-05,7.16151E-05,4.32089E-05,6.85847E-05,6.54975E-05,6.38291E-05,4.02366E-05,4.1948E-05,6.934E-05,6.55032E-05,4.58953E-05,3.73217E-05,6.66889E-05,6.61298E-05,4.61623E-05,8.96835E-05,4.28737E-05,6.67124E-05,7.63478E-05,6.50031E-05,7.11383E-05,4.54811E-05,3.80458E-05,7.45657E-05,5.60426E-05,
,6.46063E-05,6.07708E-05,0.000209625,6.21613E-05,5.46249E-05,7.69784E-05,7.03128E-05,4.64085E-05,0.000103075,5.46327E-05,5.82259E-05,5.29208E-05,3.61837E-05,5.83475E-05,8.45802E-05,9.03042E-05,6.83383E-05,2.19178E-05,7.80932E-05,4.33139E-05,5.40326E-05,6.1938E-05,5.82717E-05,4.15348E-05,4.87247E-05,6.6433E-05,4.7336E-05,5.04904E-05,4.30603E-05,6.52894E-05,5.51672E-05,3.48952E-05,5.32643E-05,5.24661E-05,5.62532E-05,8.77387E-05,6.55523E-05,6.41389E-05,4.00721E-05,4.32737E-05,8.03151E-05,6.83672E-05,
,6.14346E-05,6.61E-05,6.21613E-05,0.000133833,6.09921E-05,7.65309E-05,6.28978E-05,5.4999E-05,7.69241E-05,6.29556E-05,6.15038E-05,4.86707E-05,3.80483E-05,6.69521E-05,6.00303E-05,7.0609E-05,6.1539E-05,2.8507E-05,6.73623E-05,4.84454E-05,6.05433E-05,6.71278E-05,4.83732E-05,4.28935E-05,4.85515E-05,7.17268E-05,5.24297E-05,4.67698E-05,4.28114E-05,6.46452E-05,7.64554E-05,4.79156E-05,5.90185E-05,4.87534E-05,6.47148E-05,7.83048E-05,5.95871E-05,6.37822E-05,4.79821E-05,4.55585E-05,7.30084E-05,5.44933E-05,
,5.90623E-05,6.12912E-05,5.46249E-05,6.09921E-05,9.91913E-05,6.97006E-05,5.9657E-05,4.53489E-05,8.51448E-05,5.72313E-05,6.4704E-05,4.11015E-05,2.95973E-05,5.41697E-05,6.45275E-05,6.94999E-05,5.53403E-05,1.62871E-05,6.73288E-05,3.27206E-05,5.55679E-05,5.68456E-05,5.31415E-05,2.86215E-05,3.46373E-05,6.3449E-05,4.5296E-05,3.88563E-05,3.28809E-05,5.10522E-05,5.18205E-05,3.90661E-05,4.88105E-05,3.84898E-05,5.56168E-05,7.70356E-05,5.39053E-05,6.04274E-05,3.42534E-05,3.53571E-05,7.39496E-05,5.84224E-05,
