,PORT VALUE,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAPL,ABBV,ABT,ADP,AEO,AFL,AMD,AMZN,AOS,APD,AVGO,BDX,BMRN,CINF,CL,CLX,CMCSA,CTAS,CVX,ECL,ED,FOXA,GD,GOOG,GPC,GWW,HRL,INTC,ITW,JNJ,JPM,KO,LEG,LMT,LOW,MA,MCD,MCHP,MDT,MKC,MMM,MSFT,MU,NFLX,NTDOY,NUE,NVDA,PEP,PFE,PX,ROP,SYY,T,TJX,TROW,TSLA,UNH,V,VZ,
,0.000862462,0.000741308,0.000506793,0.000725266,0.001025251,0.000369093,0.002059785,0.001843297,0.000997263,0.000406546,0.001486062,0.00072645,0.000795984,0.000365197,9.41567E-07,0.00039955,0.000356158,0.001169361,7.68182E-05,0.000346522,0.000362002,0.000447344,0.000533534,0.000857591,0.000147336,0.000320205,0.000445406,0.000777902,0.000532824,0.000224851,0.000733297,8.31396E-05,0.000336172,0.000617073,0.000842657,0.001035683,0.000479579,0.000856887,0.000408242,0.000437117,0.00036379,0.000988527,0.001144272,0.002393384,0.001520985,0.000346236,0.002850448,0.000235792,0.000265844,0.000225955,0.000713124,0.000655697,-6.25305E-05,0.000551966,0.000481049,0.000896546,0.001212728,0.00098007,7.20712E-05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAPL,ABBV,ABT,ADP,AEO,AFL,AMD,AMZN,AOS,APD,AVGO,BDX,BMRN,CINF,CL,CLX,CMCSA,CTAS,CVX,ECL,ED,FOXA,GD,GOOG,GPC,GWW,HRL,INTC,ITW,JNJ,JPM,KO,LEG,LMT,LOW,MA,MCD,MCHP,MDT,MKC,MMM,MSFT,MU,NFLX,NTDOY,NUE,NVDA,PEP,PFE,PX,ROP,SYY,T,TJX,TROW,TSLA,UNH,V,VZ,
,0.00020173,5.96398E-05,6.75961E-05,5.90281E-05,4.27699E-05,4.50892E-05,0.000117679,9.70853E-05,8.05649E-05,6.36545E-05,0.00015008,5.43561E-05,9.37162E-05,4.49259E-05,4.07127E-05,3.49706E-05,6.07936E-05,5.55221E-05,5.87286E-05,6.10258E-05,1.00248E-05,5.95004E-05,5.68649E-05,9.16654E-05,5.16645E-05,5.16236E-05,4.64691E-05,8.93499E-05,6.83366E-05,4.41133E-05,7.65111E-05,3.25693E-05,5.88677E-05,4.61737E-05,5.85324E-05,8.68305E-05,4.7681E-05,0.000103048,5.73121E-05,4.26404E-05,6.09983E-05,9.97259E-05,0.000139564,0.000113997,9.11989E-05,7.05645E-05,0.000120966,4.01356E-05,4.29921E-05,6.42576E-05,6.70278E-05,3.62909E-05,3.68057E-05,4.42761E-05,6.82503E-05,0.000106668,6.29981E-05,7.92024E-05,3.37837E-05,
,5.96398E-05,0.000313468,0.00010319,6.15648E-05,5.94762E-05,5.92465E-05,9.6286E-05,8.11064E-05,7.9031E-05,6.31344E-05,9.09816E-05,7.91533E-05,0.000169817,5.01542E-05,3.11763E-05,2.50201E-05,6.34353E-05,6.75569E-05,6.78494E-05,6.1697E-05,1.8228E-05,5.64352E-05,5.7978E-05,8.30172E-05,6.31697E-05,5.03082E-05,3.12724E-05,8.52003E-05,6.59814E-05,7.45743E-05,8.00976E-05,2.9296E-05,6.7413E-05,5.99973E-05,6.51724E-05,7.96879E-05,3.89788E-05,8.068E-05,8.775E-05,3.8402E-05,6.81712E-05,8.42779E-05,0.000117501,0.000109451,2.99012E-05,7.82188E-05,8.92958E-05,3.10848E-05,8.97458E-05,6.48047E-05,7.22665E-05,4.37401E-05,3.53989E-05,5.11925E-05,7.38053E-05,9.48413E-05,8.56012E-05,7.17839E-05,4.0286E-05,
,6.75961E-05,0.00010319,0.000158003,6.60873E-05,5.27388E-05,6.1297E-05,0.000104502,6.7859E-05,7.99852E-05,7.39282E-05,9.17469E-05,8.22131E-05,0.000128637,6.3686E-05,4.77691E-05,3.32861E-05,5.99167E-05,6.65742E-05,6.28926E-05,6.57079E-05,2.11026E-05,6.96306E-05,6.86719E-05,7.46417E-05,6.55242E-05,6.39087E-05,4.1852E-05,8.15233E-05,6.93473E-05,6.54643E-05,8.56773E-05,3.73083E-05,6.66762E-05,5.14975E-05,6.60475E-05,8.29719E-05,4.6197E-05,7.84151E-05,8.95931E-05,4.28386E-05,6.67314E-05,8.12184E-05,0.000111308,9.1329E-05,4.84362E-05,7.64103E-05,9.14303E-05,4.15487E-05,6.87861E-05,6.49306E-05,7.11229E-05,4.53538E-05,3.80008E-05,5.75933E-05,7.45791E-05,8.30269E-05,7.65827E-05,8.24415E-05,4.71406E-05,
,5.90281E-05,6.15648E-05,6.60873E-05,0.000133751,4.90677E-05,6.09929E-05,8.84229E-05,6.32962E-05,7.6571E-05,6.29142E-05,8.30007E-05,5.48591E-05,7.5635E-05,6.15172E-05,4.86353E-05,3.80116E-05,6.49458E-05,6.69452E-05,6.00906E-05,6.15541E-05,2.84325E-05,7.01446E-05,6.06257E-05,6.86733E-05,6.71456E-05,4.84562E-05,4.84537E-05,8.03154E-05,7.17257E-05,5.24015E-05,7.5337E-05,4.27908E-05,6.46303E-05,4.99475E-05,7.63646E-05,7.59822E-05,4.79421E-05,8.01761E-05,5.89579E-05,4.87121E-05,6.47289E-05,8.25249E-05,9.89882E-05,7.67706E-05,6.23008E-05,7.83542E-05,8.44832E-05,4.7671E-05,5.03691E-05,5.95206E-05,6.37695E-05,4.78592E-05,4.55069E-05,5.97603E-05,7.30164E-05,6.48626E-05,6.33749E-05,7.1842E-05,5.35305E-05,
,4.27699E-05,5.94762E-05,5.27388E-05,4.90677E-05,0.000569909,4.21644E-05,7.57271E-05,4.47799E-05,7.1885E-05,4.29479E-05,4.91011E-05,3.02077E-05,7.56473E-05,4.78192E-05,1.92599E-05,1.98177E-05,4.92503E-05,4.76651E-05,6.51334E-05,4.23266E-05,8.27178E-06,6.59876E-05,3.37874E-05,4.92477E-05,7.76498E-05,5.56464E-05,4.75217E-05,6.45256E-05,5.26841E-05,2.46488E-05,6.71965E-05,1.83105E-05,6.46319E-05,3.20887E-05,7.78652E-05,4.56367E-05,1.42855E-05,5.70295E-05,2.76611E-05,3.19798E-05,3.07977E-05,4.30788E-05,8.41011E-05,7.99699E-05,5.2072E-05,0.000103817,8.39502E-05,1.68223E-05,3.91626E-05,4.10065E-05,5.09432E-05,3.83937E-05,4.09378E-05,0.000125318,7.23443E-05,8.59811E-05,5.02875E-05,4.50116E-05,3.63469E-05,
